long,lat
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3253,-12.5648
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
131.3953,-12.6248
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0285,-17.5226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.0385,-17.6226
146.8169,-19.259
146.8169,-19.259
146.8169,-19.259
146.8169,-19.259
146.8169,-19.259
146.8169,-19.259
146.8169,-19.259
146.8769,-19.319
146.8769,-19.319
146.8769,-19.319
146.8769,-19.319
146.8769,-19.319
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
128.7417,-15.7785
127.8413,-15.1818
127.8413,-15.1818
127.8413,-15.1818
127.8413,-15.1818
127.8413,-15.1818
127.8413,-15.1818
127.8413,-15.1818
